"","year","state_po","party","total.candidatevotes","winner.pct"
"230",2016,"MO","REPUBLICAN",1594511,"57%"
"231",2016,"MS","REPUBLICAN",700714,"58%"
"232",2016,"MT","REPUBLICAN",279240,"56%"
"233",2016,"NC","REPUBLICAN",2362631,"50%"
"234",2016,"ND","REPUBLICAN",216794,"63%"
"235",2016,"NE","REPUBLICAN",495961,"59%"
"236",2016,"NH","DEMOCRAT",348526,"47%"
"237",2016,"NJ","DEMOCRAT",2148278,"55%"
"238",2016,"NM","DEMOCRAT",385234,"48%"
"239",2016,"NV","DEMOCRAT",539260,"48%"
"240",2016,"NY","DEMOCRAT",4547562,"59%"
"241",2016,"OH","REPUBLICAN",2841005,"52%"
"242",2016,"OK","REPUBLICAN",949136,"65%"
"243",2016,"OR","DEMOCRAT",1002106,"50%"
"244",2016,"PA","REPUBLICAN",2970733,"49%"
"245",2016,"RI","DEMOCRAT",251888,"54%"
"246",2016,"SC","REPUBLICAN",1155389,"55%"
"247",2016,"SD","REPUBLICAN",227721,"62%"
"248",2016,"TN","REPUBLICAN",1522925,"61%"
"249",2016,"TX","REPUBLICAN",4685047,"52%"
"250",2016,"UT","REPUBLICAN",515231,"46%"
"251",2016,"VA","DEMOCRAT",1981473,"50%"
"252",2016,"VT","DEMOCRAT",178573,"57%"
"253",2016,"WA","DEMOCRAT",1742718,"54%"
"254",2016,"WI","REPUBLICAN",1404440,"47%"
"255",2016,"WV","REPUBLICAN",489371,"69%"
"256",2016,"WY","REPUBLICAN",174419,"68%"
"257",2016,NA,"DEMOCRAT",3928,NA
"258",2020,"AK","REPUBLICAN",189951,"53%"
"259",2020,"AL","REPUBLICAN",1441170,"62%"
"260",2020,"AR","REPUBLICAN",760647,"62%"
"261",2020,"AZ","DEMOCRAT",1672143,"49%"
"262",2020,"CA","DEMOCRAT",11110250,"63%"
"263",2020,"CO","DEMOCRAT",1804352,"55%"
"264",2020,"CT","DEMOCRAT",1080831,"59%"
"265",2020,"DC","DEMOCRAT",317323,"92%"
"266",2020,"DE","DEMOCRAT",296268,"59%"
"267",2020,"FL","REPUBLICAN",5668731,"51%"
"268",2020,"GA","DEMOCRAT",2474507,"50%"
"269",2020,"HI","DEMOCRAT",366127,"64%"
"270",2020,"IA","REPUBLICAN",902009,"53%"
"271",2020,"ID","REPUBLICAN",554119,"64%"
"272",2020,"IL","DEMOCRAT",3471915,"58%"
"273",2020,"IN","REPUBLICAN",1729519,"57%"
"274",2020,"KS","REPUBLICAN",771406,"56%"
"275",2020,"KY","REPUBLICAN",1326418,"62%"
"276",2020,"LA","REPUBLICAN",1255776,"58%"
"277",2020,"MA","DEMOCRAT",2382202,"65%"
"278",2020,"MD","DEMOCRAT",1985023,"65%"
"279",2020,"ME","DEMOCRAT",430473,"52%"
"280",2020,"MI","DEMOCRAT",2804040,"51%"
"281",2020,"MN","DEMOCRAT",1717077,"52%"
"282",2020,"MO","REPUBLICAN",1718736,"57%"
"283",2020,"MS","REPUBLICAN",756764,"58%"
"284",2020,"MT","REPUBLICAN",343602,"57%"
"285",2020,"NC","REPUBLICAN",2758773,"50%"
"286",2020,"ND","REPUBLICAN",235595,"65%"
"287",2020,"NE","REPUBLICAN",556846,"59%"
"288",2020,"NH","DEMOCRAT",424937,"53%"
"289",2020,"NJ","DEMOCRAT",2608335,"57%"
"290",2020,"NM","DEMOCRAT",501614,"54%"
"291",2020,"NV","DEMOCRAT",703314,"50%"
"292",2020,"NY","DEMOCRAT",5230985,"60%"
"293",2020,"OH","REPUBLICAN",3154834,"53%"
"294",2020,"OK","REPUBLICAN",1020280,"65%"
"295",2020,"OR","DEMOCRAT",1340383,"56%"
"296",2020,"PA","DEMOCRAT",3458229,"50%"
"297",2020,"RI","DEMOCRAT",307486,"59%"
"298",2020,"SC","REPUBLICAN",1385103,"55%"
"299",2020,"SD","REPUBLICAN",261043,"62%"
"300",2020,"TN","REPUBLICAN",1852475,"61%"
"301",2020,"TX","REPUBLICAN",5890347,"52%"
"302",2020,"UT","REPUBLICAN",865139,"58%"
"303",2020,"VA","DEMOCRAT",2413568,"54%"
"304",2020,"VT","DEMOCRAT",242826,"65%"
"305",2020,"WA","DEMOCRAT",2369612,"58%"
"306",2020,"WI","DEMOCRAT",1630673,"49%"
"307",2020,"WV","REPUBLICAN",545382,"69%"
"308",2020,"WY","REPUBLICAN",193559,"69%"
